2024-08-12,81114,KOŁOBRZEG-ŁÓDZ FABRYCZNA,ŁÓDZ FABRYCZNA,WALIZKA / PLECAK
2024-08-12,BRAK DANYCH,BRAK DANYCH,WARSZAWA OLSZYNKA GROCHOWSKA GRC,TELEFON
2024-08-12,100,WIEN HBF-KATOWICE,ZABRZE,TELEFON
2024-08-12,1220,WARSZAWA WSCHODNIA-KIELCE GŁÓWNE,KIELCE GŁÓWNE,REKLAMÓWKA / TORBA
2024-08-12,85102,SZCZECIN GŁ.-OLSZTYN GŁ.,OLSZTYN GŁ.,RZECZY OSOBISTE
2024-08-12,74100,POZNAŃ GŁ.,KATOWICE,UBRANIE
2024-08-12,81108,SZCZECIN GŁ.-ŁÓDŹ KALISKA,ŁÓDŹ KALISKA,UBRANIE
2024-08-12,5354,HEL-PRZEMYŚL GŁ.,PRZEMYŚL GŁ.,SPRZĘT TURYSTYCZNY
2024-08-12,82100,SZCZECIN GŁ.-LUBLIN GŁ.,DĘBLIN,SPRZĘT ELEKTRONICZNY
2024-08-12,84150,USTKA-KATOWICE,OPOLE GŁ.,WALIZKA / PLECAK
2024-08-12,3502,KRAKÓW GŁ.-GDYNIA GŁ.,GDYNIA GŁ.,SPRZĘT TURYSTYCZNY
2024-08-12,3840,KRAKÓW GŁ.-KOŁOBRZEG,KOŁOBRZEG,RZECZY OSOBISTE
2024-08-12,1422,BIAŁYSTOK-BIELSKO-BIAŁA GŁ.,BIELSKO-BIAŁA GŁ.,UBRANIE
2024-08-12,4502,GLIWICE-GDYNIA GŁ.,GDYNIA GŁ.,RZECZY OSOBISTE
2024-08-12,4502,GLIWICE-GDYNIA GŁ.,GDYNIA GŁ.,RZECZY OSOBISTE
2024-08-12,1512,WARSZAWA ZACHODNIA-GDYNIA GŁ.,GDYNIA GŁ.,SPRZĘT ELEKTRONICZNY
2024-08-12,57,BERLIN HBF-PRZEMYŚL GŁ.,ŁAŃCUT,KSIĄŻKA
2024-08-12,18106,WARSZAWA WSCHODNIA-ŚWINOUJŚCIE,SZCZECIN GŁ.,UBRANIE
2024-08-12,3512,KRAKÓW GŁ.-GDYNIA GŁ.,TCZEW,REKLAMÓWKA / TORBA
2024-08-12,1410,WARSZAWA WSCHODNIA-BIELSKO-BIAŁA GŁ.,BIELSKO-BIAŁA GŁ.,WALIZKA / PLECAK
2024-08-12,84150,USTKA-KATOWICE,LESZNO,TELEFON
2024-08-12,7322,POZNAŃ GŁ.-KRAKÓW GŁ.,TOMASZÓW MAZ.,REKLAMÓWKA / TORBA
2024-08-12,81114,KOŁOBRZEG-ŁÓDŹ FABRYCZNA,WARSZAWA CENTRALNA,TELEFON
2024-08-12,11104,WARSZAWA ZACHODNIA-TERESPOL,BIAŁA PODLASKA,DOKUMENT/Y
2024-08-12,38106,KRAKÓW GŁ.-PIŁA GŁ.,POZNAŃ GŁ.,REKLAMÓWKA / TORBA
2024-08-12,3532,RZESZÓW GŁ.-BYDGOSZCZ GŁ.,RZESZÓW GŁ.,TELEFON
2024-08-11,8306,KOŁOBRZEG-KRAKÓW GŁ.,KRAKÓW GŁ.,SASZETKA / NERKA
2024-08-12,18114,ŁÓDŹ FABRYCZNA-KOŁOBRZEG,KOŁOBRZEG,SPRZĘT ELEKTRONICZNY
2024-08-11,8306,KOŁOBRZEG-KRAKÓW GŁ.,KRAKÓW GŁ.,UBRANIE
2024-08-12,83174,ŚWINOUJŚCIE-KRAKÓW GŁ.,KRAKÓW GŁ.,UBRANIE
2024-08-12,8320,SZCZECIN GŁ.-KRAKÓW GŁ.,KRAKÓW GŁ.,SPRZĘT ELEKTRONICZNY
2024-08-12,83174,ŚWINOUJŚCIE-KRAKÓW GŁ.,KRAKÓW GŁ.,RZECZY OSOBISTE
2024-08-12,53172,GDYNIA GŁ.-WROCŁAW GŁ.,WROCŁAW GŁ.,UBRANIE
2024-08-12,11102,WARSZAWA ZACHODNIA-TERESPOL,SIEDLCE,WALIZKA / PLECAK
2024-08-12,81102,ŚWINOUJŚCIE-SUWAŁKI,WOŁOMIN,WALIZKA / PLECAK
2024-08-12,5304,GDYNIA GŁ.-KRAKÓW GŁ.,KRAKÓW GŁ.,KSIĄŻKA
2024-08-12,5304,GDYNIA GŁ.-KRAKÓW GŁ.,KRAKÓW GŁ.,UBRANIE
2024-08-12,5304,GDYNIA GŁ.-KRAKÓW GŁ.,KRAKÓW GŁ.,SPRZĘT TURYSTYCZNY
2024-08-12,107,PRZEMYŚL GŁ.-GRAZ HBF,RYBNIK,TELEFON
2024-08-12,1304,WARSZAWA WSCHODNIA-KRAKÓW GŁ.,KRAKÓW GŁ.,RZECZY OSOBISTE
2024-08-12,8300,KOŁOBRZEG-KRAKÓW GŁ.,KRAKÓW GŁ.,UBRANIE
2024-08-12,1304,WARSZAWA WSCHODNIA-KRAKÓW GŁ.,KRAKÓW GŁ.,UBRANIE
2024-08-12,5302,GDYNIA GŁ.-KRAKÓW GŁ.,KRAKÓW GŁ.,UBRANIE
2024-08-12,6124,WROCŁAW GŁ.-BIAŁYSTOK,SKIERNIEWICE,PORTFEL
2024-08-12,65102,WROCŁAW GŁ.  OLSZTYN GŁ.,OLSZTYN GŁ.,SPRZĘT ELEKTRONICZNY
2024-08-12,5304,GDYNIA GŁ.-KRAKÓW GŁ.,KRAKÓW GŁ.,UBRANIE
2024-08-12,1322,WARSZAWA WSCHODNIA-KRAKÓW GŁ.,KRAKÓW GŁ.,UBRANIE
2024-08-12,81104,SZCZECIN GÓWNY-BIAŁYSTOK,SZCZECIN,UBRANIE
2024-08-12,45102,KATOWICE-GDYNIA GŁ.,ŁÓDŹ KALISKA,SASZETKA / NERKA
2024-08-12,1304,WARSZAWA WSCHODNIA-KRAKÓW GŁ.,KRAKÓW GŁ.,UBRANIE
2024-08-09,81104,SZCZECIN GŁ.-BIAŁYSTOK,SZCZECIN,RZECZY OSOBISTE
2024-08-08,58102,OLSZTYN GŁ.-SZCZECIN GŁ.,SZCZECIN,KSIĄŻKA
2024-08-12,6504,WROCŁAW GŁ.-GDYNIA GŁ.,GDYNIA GŁ.,UBRANIE
2024-08-12,3554,PRZEMYŚL GŁ.-HEL,KATOWICE,UBRANIE
2024-08-12,1540,WARSZAWA ZACHODNIA-HEL,IŁAWA GŁ.,PORTFEL
2024-08-12,5400,GDYNIA GŁ.-GLIWICE,WARSZAWA ZACHODNIA,ARTYKUŁY BIUROWE
2024-08-12,18108,ŁÓDŹ KALISKA-SZCZECIN GŁ.,SZCZECIN GŁ.,UBRANIE
2024-08-12,1400,WARSZAWA WSCHODNIA-BIELSKO-BIAŁA GŁ.,BIELSKO-BIAŁA GŁ.,REKLAMÓWKA / TORBA
2024-08-12,73102,POZNAŃ GŁ.-KRAKÓW GŁ.,KRAKÓW GŁ.,UBRANIE
2024-08-12,3510,KRAKÓW GŁ.-GDYNIA GŁ.,GDYNIA GŁ.,SPRZĘT TURYSTYCZNY
2024-08-12,6102,JELENIA GÓRA-WARSZAWA WSCHODNIA,WARSZAWA WSCHODNIA,UBRANIE
2024-08-12,5302,GDYNIA GŁ.-KRAKÓW GŁ.,KRAKÓW GŁ.,UBRANIE
2024-08-11,1310,WARSZAWA WSCHODNIA-KRAKÓW GŁ.,KRAKÓW GŁ.,UBRANIE
2024-08-10,7320,POZNAŃ GŁ.-KRAKÓW GŁ.,KRAKÓW GŁ.,SPRZĘT ELEKTRONICZNY
2024-08-10,5322,OLSZTYN GŁ.-KRAKÓW GŁ.,KRAKÓW GŁ.,SPRZĘT ELEKTRONICZNY
2024-08-10,83106,PIŁA GŁ.-KRAKÓW GŁ.,KRAKÓW GŁ.,RZECZY OSOBISTE
2024-08-12,13000,MOCKAVA-KRAKÓW GŁ.,KRAKÓW GŁ.,REKLAMÓWKA / TORBA
2024-08-11,1650,WARSZAWA WSCHODNIA-SZKLARSKA PORĘBA GRN.,SZKLARSKA PORĘBA,UBRANIE
